index  confidence   rules
 1     1.000        ['7']=>['10']
 2     1.000        ['5']=>['10']
 3     1.000        ['3']=>['10']
 4     1.000        ['3', '0']=>['10']
 5     1.000        ['7', '1']=>['10']
 6     1.000        ['7', '5']=>['10']
 7     1.000        ['1', '5']=>['10']
 8     1.000        ['7', '0']=>['10']
 9     1.000        ['5', '0']=>['10']
 10    1.000        ['7', '1', '5']=>['10']
 11    1.000        ['7', '1', '0']=>['10']
 12    1.000        ['5', '7', '0']=>['10']
 13    1.000        ['5', '1', '0']=>['10']
 14    1.000        ['7', '1', '0', '5']=>['10']
 15    0.947        ['1']=>['10']
 16    0.947        ['1', '0']=>['10']
 17    0.926        ['0']=>['10']
