index  confidence   rules
 1     1.000        ['10']=>['1']
 2     1.000        ['7']=>['10']
 3     1.000        ['2']=>['1']
 4     1.000        ['5']=>['0']
 5     1.000        ['4']=>['0']
 6     1.000        ['7']=>['1']
 7     1.000        ['2']=>['10']
 8     1.000        ['1']=>['0']
 9     1.000        ['8']=>['2']
 10    1.000        ['2']=>['8']
 11    1.000        ['8']=>['1']
 12    1.000        ['8']=>['0']
 13    1.000        ['3']=>['0']
 14    1.000        ['9']=>['0']
 15    1.000        ['7']=>['0']
 16    1.000        ['7']=>['5']
 17    1.000        ['5']=>['7']
 18    1.000        ['5']=>['1']
 19    1.000        ['2']=>['0']
 20    1.000        ['10']=>['0']
 21    1.000        ['5']=>['10']
 22    1.000        ['6']=>['0']
 23    1.000        ['8']=>['10']
 24    1.000        ['8', '0']=>['10']
 25    1.000        ['8', '10']=>['0']
 26    1.000        ['8']=>['0', '10']
 27    1.000        ['0', '5']=>['10']
 28    1.000        ['10', '5']=>['0']
 29    1.000        ['5']=>['0', '10']
 30    1.000        ['10', '2']=>['1']
 31    1.000        ['2', '1']=>['10']
 32    1.000        ['2']=>['10', '1']
 33    1.000        ['8', '10']=>['1']
 34    1.000        ['8', '1']=>['10']
 35    1.000        ['8']=>['10', '1']
 36    1.000        ['0', '7']=>['10']
 37    1.000        ['10', '7']=>['0']
 38    1.000        ['7']=>['0', '10']
 39    1.000        ['7', '5']=>['10']
 40    1.000        ['10', '7']=>['5']
 41    1.000        ['10', '5']=>['7']
 42    1.000        ['5']=>['10', '7']
 43    1.000        ['7']=>['10', '5']
 44    1.000        ['0', '10']=>['1']
 45    1.000        ['10', '1']=>['0']
 46    1.000        ['10']=>['0', '1']
 47    1.000        ['7', '5']=>['1']
 48    1.000        ['1', '7']=>['5']
 49    1.000        ['1', '5']=>['7']
 50    1.000        ['5']=>['1', '7']
 51    1.000        ['7']=>['1', '5']
 52    1.000        ['0', '2']=>['1']
 53    1.000        ['2', '1']=>['0']
 54    1.000        ['2']=>['0', '1']
 55    1.000        ['8', '2']=>['1']
 56    1.000        ['8', '1']=>['2']
 57    1.000        ['2', '1']=>['8']
 58    1.000        ['8']=>['2', '1']
 59    1.000        ['2']=>['8', '1']
 60    1.000        ['8', '0']=>['2']
 61    1.000        ['8', '2']=>['0']
 62    1.000        ['0', '2']=>['8']
 63    1.000        ['2']=>['8', '0']
 64    1.000        ['8']=>['0', '2']
 65    1.000        ['0', '7']=>['5']
 66    1.000        ['7', '5']=>['0']
 67    1.000        ['0', '5']=>['7']
 68    1.000        ['7']=>['0', '5']
 69    1.000        ['5']=>['0', '7']
 70    1.000        ['0', '7']=>['1']
 71    1.000        ['1', '7']=>['0']
 72    1.000        ['7']=>['0', '1']
 73    1.000        ['0', '5']=>['1']
 74    1.000        ['1', '5']=>['0']
 75    1.000        ['5']=>['0', '1']
 76    1.000        ['8', '0']=>['1']
 77    1.000        ['8', '1']=>['0']
 78    1.000        ['8']=>['0', '1']
 79    1.000        ['10', '7']=>['1']
 80    1.000        ['1', '7']=>['10']
 81    1.000        ['7']=>['10', '1']
 82    1.000        ['10', '5']=>['1']
 83    1.000        ['1', '5']=>['10']
 84    1.000        ['5']=>['10', '1']
 85    1.000        ['0', '2']=>['10']
 86    1.000        ['10', '2']=>['0']
 87    1.000        ['2']=>['0', '10']
 88    1.000        ['8', '2']=>['10']
 89    1.000        ['8', '10']=>['2']
 90    1.000        ['10', '2']=>['8']
 91    1.000        ['8']=>['10', '2']
 92    1.000        ['2']=>['8', '10']
 93    1.000        ['0', '7', '5']=>['1']
 94    1.000        ['0', '1', '7']=>['5']
 95    1.000        ['1', '7', '5']=>['0']
 96    1.000        ['0', '1', '5']=>['7']
 97    1.000        ['1', '7']=>['0', '5']
