index  confidence   rules
 1     1.000        ['8']=>['9']
 2     1.000        ['0']=>['9']
 3     1.000        ['5']=>['9']
 4     1.000        ['4']=>['9']
 5     1.000        ['2']=>['9']
 6     1.000        ['3']=>['9']
 7     1.000        ['6']=>['9']
 8     1.000        ['1']=>['9']
 9     1.000        ['7']=>['9']
 10    1.000        ['0', '5']=>['9']
 11    1.000        ['7', '0']=>['9']
 12    1.000        ['3', '1']=>['9']
 13    1.000        ['4', '1']=>['9']
 14    1.000        ['8', '1']=>['9']
 15    1.000        ['2', '0']=>['9']
 16    1.000        ['2', '8']=>['9']
 17    1.000        ['4', '0']=>['9']
 18    1.000        ['0', '6']=>['9']
 19    1.000        ['2', '1']=>['9']
 20    1.000        ['0', '8']=>['9']
 21    1.000        ['0', '3']=>['9']
 22    1.000        ['0', '1']=>['9']
 23    1.000        ['5', '1']=>['9']
 24    1.000        ['7', '1']=>['9']
 25    1.000        ['7', '5']=>['9']
 26    1.000        ['0', '5', '1']=>['9']
 27    1.000        ['7', '0', '1']=>['9']
 28    1.000        ['2', '0', '8']=>['9']
 29    1.000        ['7', '0', '5']=>['9']
 30    1.000        ['7', '5', '1']=>['9']
 31    1.000        ['4', '0', '1']=>['9']
 32    1.000        ['0', '8', '1']=>['9']
 33    1.000        ['2', '8', '1']=>['9']
 34    1.000        ['0', '3', '1']=>['9']
 35    1.000        ['2', '0', '1']=>['9']
 36    1.000        ['2', '0', '8', '1']=>['9']
 37    1.000        ['7', '0', '5', '1']=>['9']
